ticket_id,region,channel,text
TCK-0086,Sevilla,redes_sociales,La portabilidad que pedi hace una semana sigue sin completarse y me he quedado sin linea en medio del proceso.
TCK-0087,Barcelona,web,"Tengo una duda sobre el contrato de permanencia, cuando termina el mio?"
TCK-0088,Madrid,telefono,"Llevo dos anos con vosotros y la fibra va perfecta, muy contento con el servicio."
TCK-0089,Valencia,tienda,"La atencion telefonica de hoy ha sido excelente, me resolvieron todo a la primera. Gracias."
TCK-0090,Madrid,telefono,"Perfecto el tecnico, eso si, tardo solo cuatro horas de retraso. Un encanto la espera."
TCK-0091,Sevilla,app,"Tengo una duda sobre el contrato de permanencia, cuando termina el mio?"
TCK-0092,Valencia,app,"Solo era para preguntar el horario de la tienda de Sevilla, nada urgente."
TCK-0093,Valencia,tienda,"Se me corta la conexion de fibra cada pocos minutos, sobre todo por la tarde. Ya he reiniciado el router varias veces y sigue igual."
TCK-0094,Madrid,redes_sociales,"Que servicio tan maravilloso, llevo una semana entera sin internet y nadie me coge el telefono. Enhorabuena de verdad."
TCK-0095,Bilbao,app,"Llevo desde ayer sin internet en casa, la luz del router parpadea en rojo y no consigo conectarme a nada. Necesito que lo solucionen cuanto antes porque teletrabajo."
TCK-0096,Bilbao,telefono,"Solicito la cancelacion de mi linea de television, ya no la uso."
TCK-0097,Madrid,redes_sociales,No tengo linea en el telefono fijo desde el fin de semana. No da tono al descolgar.
TCK-0098,Valencia,app,"La velocidad por la noche es penosa, no puedo ver series sin que se pare cada dos por tres."
TCK-0099,Bilbao,telefono,Tengo contratados 600 megas y el test me da apenas 80. Pago por una velocidad que no recibo.
TCK-0100,Valencia,tienda,"La velocidad por la noche es penosa, no puedo ver series sin que se pare cada dos por tres."
TCK-0101,Coruna,app,Querria cambiar el titular del contrato a nombre de mi pareja.
TCK-0102,Madrid,telefono,"Me gustaria portar tanto el fijo como el movil a vuestra compania, que documentacion necesito."
TCK-0103,Valencia,tienda,"Me gustaria portar tanto el fijo como el movil a vuestra compania, que documentacion necesito."
TCK-0104,Valencia,redes_sociales,Tengo contratados 600 megas y el test me da apenas 80. Pago por una velocidad que no recibo.
TCK-0105,Coruna,redes_sociales,"Llevo tres dias sin servicio por culpa de una portabilidad mal gestionada en Bilbao, esto es inadmisible."
TCK-0106,Valencia,tienda,"La instalacion quedo a medias, el router esta puesto pero no han activado la linea."
TCK-0107,Barcelona,telefono,"Llevo desde ayer sin internet en casa, la luz del router parpadea en rojo y no consigo conectarme a nada. Necesito que lo solucionen cuanto antes porque teletrabajo."
TCK-0108,Barcelona,telefono,"Mil gracias por subirme la factura sin avisar, justo lo que necesitaba este mes. Genial todo."
TCK-0109,Valencia,tienda,Los datos del movil van muy lentos aunque tengo cobertura 5G en pantalla.
TCK-0110,Barcelona,redes_sociales,Mi conexion va lentisima desde que cambiaron algo en la antena del barrio. Antes iba perfecta.
TCK-0111,Valencia,telefono,Quiero traer mi numero de movil desde otra compania a vuestra tarifa. Como hago la portabilidad?
TCK-0112,Valencia,tienda,"Se me corta la conexion de fibra cada pocos minutos, sobre todo por la tarde. Ya he reiniciado el router varias veces y sigue igual."
TCK-0113,Valencia,app,"URGENTE URGENTE necesito saber si manana hay futbol en el paquete de tele, gracias."
TCK-0114,Barcelona,app,Querria cambiar el titular del contrato a nombre de mi pareja.
TCK-0115,Madrid,telefono,Querria saber si teneis cobertura de fibra en mi calle antes de contratar.
TCK-0116,Madrid,redes_sociales,"Hoy no me funciona absolutamente nada, ni internet ni telefono ni tele. Creo que es una averia general de la zona."
TCK-0117,Barcelona,redes_sociales,Como puedo consultar mi consumo de datos del mes desde la aplicacion?
TCK-0118,Coruna,web,En la factura aparece un servicio de llamadas premium que yo nunca he contratado. Reclamo su devolucion.
TCK-0119,Coruna,app,Puedo anadir una segunda linea movil a mi cuenta y que descuento tendria?
TCK-0120,Barcelona,telefono,Querria saber por que ha subido mi cuota mensual sin avisarme.
