ticket_id,region,channel,text
TCK-0086,Valencia,call_center,Necesito actualizar mis datos de contacto y no encuentro la opción en la app.
TCK-0087,Barcelona,app,Después de varias incidencias quiero tramitar la baja del servicio.
TCK-0088,Valencia,call_center,Mi número móvil está sin servicio tras la portabilidad y nadie me da solución.
TCK-0089,Valencia,redes,Quiero felicitar al equipo de soporte por ayudarme con la configuración del router.
TCK-0090,Zaragoza,redes,La factura incluye un cargo de televisión que no he contratado.
TCK-0091,Madrid,call_center,El técnico resolvió la avería muy rápido y fue muy amable. Gracias por la atención.
TCK-0092,Bilbao,call_center,Quiero saber si puedo cambiar a una tarifa con más datos móviles.
TCK-0093,Madrid,redes,Quiero saber si puedo cambiar a una tarifa con más datos móviles.
TCK-0094,Valencia,call_center,¿La televisión incluida permite ver el fútbol o es un paquete aparte?
TCK-0095,Bilbao,redes,"La conexión va muy lenta por las tardes, especialmente al ver televisión en streaming. Esto ocurre sobre todo por la noche."
TCK-0096,Barcelona,call_center,La instalación quedó pendiente porque faltaba acceso al cuarto de comunicaciones.
TCK-0097,Zaragoza,email,Después de varias incidencias quiero tramitar la baja del servicio. Es urgente porque afecta a mi trabajo.
TCK-0098,Zaragoza,web,La instalación quedó pendiente porque faltaba acceso al cuarto de comunicaciones.
TCK-0099,Sevilla,app,Mi número móvil está sin servicio tras la portabilidad y nadie me da solución.
TCK-0100,Bilbao,call_center,"La conexión va muy lenta por las tardes, especialmente al ver televisión en streaming."
TCK-0101,Zaragoza,call_center,Tengo contratados 600 Mb pero el test no pasa de 90 Mb desde hace días.
TCK-0102,Sevilla,call_center,No estoy satisfecho y quiero dar de baja la fibra y el móvil.
TCK-0103,Bilbao,web,Necesito actualizar mis datos de contacto y no encuentro la opción en la app.
TCK-0104,Sevilla,email,Llevo varias horas sin internet en casa y el router parpadea en rojo. Necesito que lo revisen cuanto antes.
TCK-0105,Bilbao,redes,Me han cobrado dos veces la cuota mensual y necesito la devolución.
TCK-0106,Madrid,call_center,La instalación quedó pendiente porque faltaba acceso al cuarto de comunicaciones.
TCK-0107,Barcelona,email,Desde esta mañana no funciona la línea fija ni la fibra. En la app aparece incidencia en mi zona.
TCK-0108,Zaragoza,call_center,Quiero traer dos líneas desde otro operador y necesito confirmar plazos.
TCK-0109,Zaragoza,web,Quiero felicitar al equipo de soporte por ayudarme con la configuración del router.
TCK-0110,Sevilla,web,Necesito información sobre la permanencia de mi contrato actual.
TCK-0111,Madrid,call_center,Se ha caído la conexión varias veces durante una reunión y el servicio sigue intermitente.
TCK-0112,Bilbao,call_center,Quiero cambiar el titular de la línea por motivos familiares.
TCK-0113,Barcelona,call_center,Llevo varias horas sin internet en casa y el router parpadea en rojo. Necesito que lo revisen cuanto antes. Es urgente porque afecta a mi trabajo.
TCK-0114,Barcelona,app,Tengo contratados 600 Mb pero el test no pasa de 90 Mb desde hace días. Esto ocurre sobre todo por la noche.
TCK-0115,Bilbao,app,"La conexión va muy lenta por las tardes, especialmente al ver televisión en streaming."
TCK-0116,Bilbao,web,La velocidad real es muy inferior a la prometida y no puedo teletrabajar bien.
TCK-0117,Sevilla,email,¿La televisión incluida permite ver el fútbol o es un paquete aparte?
TCK-0118,Barcelona,app,Llevo varias horas sin internet en casa y el router parpadea en rojo. Necesito que lo revisen cuanto antes.
TCK-0119,Sevilla,web,Llevo varias horas sin internet en casa y el router parpadea en rojo. Necesito que lo revisen cuanto antes. Es urgente porque afecta a mi trabajo.
TCK-0120,Bilbao,email,La instalación quedó pendiente porque faltaba acceso al cuarto de comunicaciones.
