ticket_id,timestamp,customer_id,category,status,priority,resolution_hours,description
T000098,2025-10-08T03:06:36,C00029,intermitencias,en_proceso,media,,"Conexión inestable, especialmente por la noche."
T000099,2025-10-28T08:38:49,C00327,intermitencias,resuelto,baja,92.0,"Conexión inestable, especialmente por la noche."
T000100,2025-10-11T12:20:58,C00230,velocidad_baja,cerrado,media,78.9,Cliente reporta velocidad inferior a la contratada.
T000101,2025-10-07T22:16:18,C00407,portabilidad,cerrado,baja,79.8,Confirmación de portabilidad recibida.
T000102,2025-10-17T15:14:27,C00473,intermitencias,resuelto,media,16.5,"Conexión inestable, especialmente por la noche."
T000103,2025-10-06T06:29:36,C00009,portabilidad,resuelto,baja,36.6,Solicita portabilidad desde otro operador.
T000104,2025-10-30T09:28:17,C00050,facturacion,resuelto,alta,65.9,Cargo no reconocido en la última factura.
T000105,2025-10-25T10:25:15,C00386,intermitencias,resuelto,media,4.2,"Conexión inestable, especialmente por la noche."
T000106,2025-10-27T04:18:49,C00424,sin_servicio,en_proceso,media,,"Sin servicio en toda la zona, varios avisos."
T000107,2025-10-21T10:07:56,C00190,velocidad_baja,cerrado,alta,62.5,Velocidad muy baja en horario de tarde.
T000108,2025-10-19T12:10:21,C00180,velocidad_baja,resuelto,media,90.1,Tests de velocidad muestran 50 Mbps de los 600 contratados.
T000109,2025-10-14T18:01:46,C00307,sin_servicio,resuelto,baja,73.6,Sin conexión desde anoche.
T000110,2025-10-29T01:24:13,C00268,consulta_tarifa,resuelto,baja,71.5,Cliente pregunta por tarifas de fibra 1000.
T000111,2025-10-20T20:20:20,C00186,sin_servicio,resuelto,baja,20.1,"Router sin luz verde, cliente sin servicio."
T000112,2025-10-13T16:26:23,C00438,sin_servicio,en_proceso,media,,"Router sin luz verde, cliente sin servicio."
T000113,2025-10-10T21:19:13,C00212,consulta_tarifa,resuelto,media,95.2,Solicita información sobre paquete convergente.
T000114,2025-10-13T07:40:20,C00158,portabilidad,en_proceso,media,,"Portabilidad bloqueada, requiere intervención."
T000115,2025-10-06T18:44:41,C00383,instalacion,cerrado,baja,13.7,Técnico no acudió a la cita programada.
T000116,2025-10-25T16:15:47,C00206,facturacion,resuelto,media,16.0,Cargo no reconocido en la última factura.
T000117,2025-10-08T19:16:24,C00200,instalacion,cerrado,media,65.9,Solicita cita para nueva instalación.
T000118,2025-10-22T03:15:05,C00046,velocidad_baja,cerrado,alta,45.5,Velocidad muy baja en horario de tarde.
T000119,2025-10-19T15:46:20,C00477,sin_servicio,resuelto,baja,58.7,"Sin servicio en toda la zona, varios avisos."
T000120,2025-10-03T18:56:57,C00485,consulta_tarifa,resuelto,media,68.5,Consulta sobre promociones vigentes.
T000121,2025-10-26T03:41:32,C00147,intermitencias,resuelto,media,19.8,"Conexión inestable, especialmente por la noche."
T000122,2025-10-12T05:54:58,C00315,facturacion,abierto,media,,Duplicidad en cobro de cuota mensual.
T000123,2025-10-05T05:10:45,C00142,intermitencias,resuelto,baja,63.1,Cortes intermitentes cada pocos minutos.
T000124,2025-10-01T17:54:11,C00378,consulta_tarifa,resuelto,baja,56.5,Consulta sobre promociones vigentes.
T000125,2025-10-29T07:09:55,C00179,sin_servicio,cerrado,media,69.8,"Sin servicio en toda la zona, varios avisos."
T000126,2025-10-23T01:49:57,C00477,instalacion,escalado,baja,58.4,Solicita cita para nueva instalación.
T000127,2025-10-28T02:51:07,C00038,consulta_tarifa,resuelto,baja,39.4,Cliente pregunta por tarifas de fibra 1000.
T000128,2025-10-27T02:42:10,C00417,averia_router,resuelto,baja,49.5,"Router emite olor a quemado, requiere sustitución."
T000129,2025-10-17T11:44:00,C00493,averia_router,resuelto,critica,54.3,Router no enciende.
T000130,2025-10-06T15:27:44,C00133,portabilidad,resuelto,alta,82.8,"Portabilidad bloqueada, requiere intervención."
T000131,2025-10-12T03:53:16,C00410,sin_servicio,resuelto,alta,21.5,"Sin servicio en toda la zona, varios avisos."
T000132,2025-10-13T18:49:28,C00128,instalacion,resuelto,baja,51.7,Técnico no acudió a la cita programada.
T000133,2025-10-04T16:34:47,C00284,averia_router,en_proceso,media,,"Router emite olor a quemado, requiere sustitución."
T000134,2025-10-09T20:57:33,C00485,intermitencias,resuelto,baja,85.9,Wifi se cae varias veces al día.
T000135,2025-10-11T00:54:52,C00118,facturacion,resuelto,baja,70.7,Cliente reclama subida de cuota sin aviso.
T000136,2025-10-06T19:40:06,C00472,facturacion,cerrado,alta,34.5,Cargo no reconocido en la última factura.
T000137,2025-10-03T01:14:24,C00435,sin_servicio,resuelto,media,59.1,"Sin servicio en toda la zona, varios avisos."
T000138,2025-10-14T08:05:13,C00252,portabilidad,resuelto,baja,86.3,Confirmación de portabilidad recibida.
T000139,2025-10-28T23:51:49,C00066,intermitencias,escalado,alta,27.3,Cortes intermitentes cada pocos minutos.
T000140,2025-10-25T09:25:33,C00178,velocidad_baja,resuelto,media,90.2,Cliente reporta velocidad inferior a la contratada.
T000141,2025-10-26T03:45:09,C00236,consulta_tarifa,cerrado,alta,44.2,Cliente pregunta por tarifas de fibra 1000.
T000142,2025-10-05T21:22:47,C00167,instalacion,resuelto,baja,20.6,Técnico no acudió a la cita programada.
T000143,2025-10-14T01:53:00,C00242,instalacion,resuelto,baja,52.9,Solicita cita para nueva instalación.
T000144,2025-10-19T01:46:19,C00187,instalacion,resuelto,media,20.6,Técnico no acudió a la cita programada.
T000145,2025-10-12T02:17:58,C00417,consulta_tarifa,resuelto,baja,13.0,Consulta sobre promociones vigentes.
T000146,2025-10-10T12:25:48,C00075,sin_servicio,cerrado,alta,53.5,"Router sin luz verde, cliente sin servicio."
T000147,2025-10-31T14:45:46,C00265,intermitencias,resuelto,baja,40.8,Cortes intermitentes cada pocos minutos.
T000148,2025-10-03T07:35:07,C00204,instalacion,cerrado,baja,54.2,Técnico no acudió a la cita programada.
T000149,2025-10-31T13:50:33,C00050,sin_servicio,resuelto,baja,78.2,"Router sin luz verde, cliente sin servicio."
T000150,2025-10-13T12:15:34,C00177,portabilidad,cerrado,baja,34.9,Confirmación de portabilidad recibida.
T000151,2025-10-10T15:48:10,C00296,velocidad_baja,resuelto,baja,65.4,Velocidad muy baja en horario de tarde.
T000152,2025-10-24T15:58:16,C00397,intermitencias,escalado,baja,31.5,"Conexión inestable, especialmente por la noche."
T000153,2025-10-08T00:45:37,C00445,portabilidad,cerrado,baja,27.9,Confirmación de portabilidad recibida.
T000154,2025-10-28T18:00:21,C00208,intermitencias,resuelto,alta,40.8,"Conexión inestable, especialmente por la noche."
T000155,2025-10-16T09:11:23,C00335,sin_servicio,abierto,baja,,"Router sin luz verde, cliente sin servicio."
T000156,2025-10-18T15:07:03,C00383,averia_router,cerrado,media,38.3,"Router emite olor a quemado, requiere sustitución."
T000157,2025-10-12T09:21:37,C00339,portabilidad,resuelto,baja,2.7,Confirmación de portabilidad recibida.
T000158,2025-10-20T06:35:29,C00053,averia_router,cerrado,media,8.1,Router no enciende.
T000159,2025-10-03T14:42:40,C00014,sin_servicio,abierto,alta,,"Sin servicio en toda la zona, varios avisos."
T000160,2025-10-08T12:54:27,C00044,consulta_tarifa,resuelto,critica,10.4,Consulta sobre promociones vigentes.
T000161,2025-10-07T03:16:49,C00068,consulta_tarifa,resuelto,baja,27.6,Consulta sobre promociones vigentes.
T000162,2025-10-24T02:45:37,C00240,intermitencias,abierto,media,,Wifi se cae varias veces al día.
T000163,2025-10-09T14:15:45,C00303,averia_router,resuelto,baja,91.1,Router pierde configuración tras corte de luz.
T000164,2025-10-26T21:54:12,C00159,portabilidad,resuelto,media,54.4,Confirmación de portabilidad recibida.
T000165,2025-10-18T18:10:06,C00212,instalacion,resuelto,baja,9.1,Instalación pendiente desde hace 10 días.
T000166,2025-10-07T14:48:05,C00177,averia_router,en_proceso,baja,,Router pierde configuración tras corte de luz.
T000167,2025-10-15T13:04:17,C00005,averia_router,resuelto,baja,88.6,"Router emite olor a quemado, requiere sustitución."
T000168,2025-10-19T03:19:36,C00097,consulta_tarifa,cerrado,media,76.6,Consulta sobre promociones vigentes.
T000169,2025-10-19T22:03:37,C00425,consulta_tarifa,cerrado,media,24.4,Consulta sobre promociones vigentes.
T000170,2025-10-30T18:26:55,C00414,consulta_tarifa,resuelto,baja,60.2,Consulta sobre promociones vigentes.
T000171,2025-10-10T03:02:11,C00437,averia_router,resuelto,media,77.7,"Router emite olor a quemado, requiere sustitución."
T000172,2025-10-23T02:30:47,C00317,sin_servicio,en_proceso,baja,,"Sin servicio en toda la zona, varios avisos."
T000173,2025-10-08T09:16:00,C00026,portabilidad,resuelto,media,18.4,Solicita portabilidad desde otro operador.
T000174,2025-10-07T01:40:52,C00367,velocidad_baja,en_proceso,baja,,Tests de velocidad muestran 50 Mbps de los 600 contratados.
T000175,2025-10-11T13:02:32,C00176,portabilidad,cerrado,baja,14.9,"Portabilidad bloqueada, requiere intervención."
T000176,2025-10-02T12:58:35,C00170,consulta_tarifa,resuelto,alta,95.8,Solicita información sobre paquete convergente.
T000177,2025-10-04T11:10:09,C00279,sin_servicio,cerrado,critica,5.9,"Router sin luz verde, cliente sin servicio."
T000178,2025-10-19T12:34:11,C00425,portabilidad,en_proceso,alta,,"Portabilidad bloqueada, requiere intervención."
T000179,2025-10-19T16:19:19,C00395,velocidad_baja,en_proceso,alta,,Cliente reporta velocidad inferior a la contratada.
T000180,2025-10-05T13:28:18,C00267,portabilidad,resuelto,critica,19.5,Confirmación de portabilidad recibida.
T000181,2025-10-08T16:47:44,C00323,facturacion,resuelto,media,30.3,Cliente reclama subida de cuota sin aviso.
T000182,2025-10-31T23:55:47,C00153,velocidad_baja,cerrado,media,12.2,Tests de velocidad muestran 50 Mbps de los 600 contratados.
T000183,2025-10-12T10:55:12,C00325,facturacion,resuelto,baja,64.2,Cargo no reconocido en la última factura.
T000184,2025-10-20T05:09:00,C00405,consulta_tarifa,resuelto,baja,26.9,Cliente pregunta por tarifas de fibra 1000.
T000185,2025-10-24T01:43:49,C00353,facturacion,abierto,baja,,Duplicidad en cobro de cuota mensual.
T000186,2025-10-31T00:46:24,C00174,intermitencias,resuelto,baja,15.6,Cortes intermitentes cada pocos minutos.
T000187,2025-10-27T00:53:48,C00406,velocidad_baja,abierto,media,,Velocidad muy baja en horario de tarde.
T000188,2025-10-17T20:39:16,C00413,sin_servicio,en_proceso,baja,,"Sin servicio en toda la zona, varios avisos."
T000189,2025-10-07T12:58:27,C00129,portabilidad,cerrado,baja,36.6,Confirmación de portabilidad recibida.
T000190,2025-10-24T18:59:54,C00098,velocidad_baja,resuelto,media,28.6,Velocidad muy baja en horario de tarde.
T000191,2025-10-27T22:03:46,C00083,intermitencias,resuelto,baja,45.2,"Conexión inestable, especialmente por la noche."
T000192,2025-10-18T19:43:02,C00233,sin_servicio,resuelto,media,78.8,"Sin servicio en toda la zona, varios avisos."
T000193,2025-10-31T02:02:35,C00439,velocidad_baja,cerrado,media,70.6,Cliente reporta velocidad inferior a la contratada.
T000194,2025-10-27T03:55:47,C00420,instalacion,cerrado,baja,69.4,Técnico no acudió a la cita programada.
T000195,2025-10-08T11:34:34,C00314,consulta_tarifa,en_proceso,media,,Consulta sobre promociones vigentes.
T000196,2025-10-04T05:41:15,C00023,averia_router,resuelto,media,11.0,Router pierde configuración tras corte de luz.
T000197,2025-10-24T13:29:50,C00099,intermitencias,en_proceso,baja,,Cortes intermitentes cada pocos minutos.
T000198,2025-10-24T18:47:09,C00270,sin_servicio,abierto,media,,"Router sin luz verde, cliente sin servicio."
T000199,2025-10-04T10:34:26,C00007,averia_router,abierto,baja,,Router pierde configuración tras corte de luz.
T000200,2025-10-03T22:43:15,C00185,facturacion,resuelto,alta,80.0,Cliente reclama subida de cuota sin aviso.
T000201,2025-10-13T21:41:51,C00271,consulta_tarifa,cerrado,alta,6.1,Consulta sobre promociones vigentes.
T000202,2025-10-26T05:14:39,C00050,velocidad_baja,cerrado,alta,7.9,Cliente reporta velocidad inferior a la contratada.
T000203,2025-10-13T01:49:47,C00292,sin_servicio,cerrado,media,18.6,"Sin servicio en toda la zona, varios avisos."
T000204,2025-10-28T23:44:43,C00184,intermitencias,resuelto,media,71.8,"Conexión inestable, especialmente por la noche."
T000205,2025-10-27T16:45:22,C00206,portabilidad,cerrado,media,10.4,Solicita portabilidad desde otro operador.
T000206,2025-10-16T07:10:55,C00282,instalacion,resuelto,media,57.8,Instalación pendiente desde hace 10 días.
T000207,2025-10-16T16:50:51,C00312,instalacion,cerrado,media,61.0,Técnico no acudió a la cita programada.
T000208,2025-10-13T08:02:07,C00185,facturacion,resuelto,baja,73.6,Duplicidad en cobro de cuota mensual.
T000209,2025-10-29T22:06:50,C00009,portabilidad,resuelto,baja,69.9,"Portabilidad bloqueada, requiere intervención."
T000210,2025-10-11T10:17:12,C00439,intermitencias,escalado,baja,29.2,Cortes intermitentes cada pocos minutos.
T000211,2025-10-14T09:30:48,C00471,instalacion,abierto,alta,,Técnico no acudió a la cita programada.
T000212,2025-10-07T17:15:26,C00136,intermitencias,en_proceso,media,,Cortes intermitentes cada pocos minutos.
T000213,2025-10-05T11:04:38,C00293,instalacion,cerrado,baja,25.0,Instalación pendiente desde hace 10 días.
T000214,2025-10-24T10:11:30,C00089,consulta_tarifa,resuelto,baja,7.9,Solicita información sobre paquete convergente.
T000215,2025-10-29T21:29:40,C00329,portabilidad,cerrado,media,55.5,Solicita portabilidad desde otro operador.
T000216,2025-10-04T19:25:58,C00400,averia_router,abierto,alta,,"Router emite olor a quemado, requiere sustitución."
T000217,2025-10-21T05:16:58,C00477,velocidad_baja,cerrado,baja,84.5,Tests de velocidad muestran 50 Mbps de los 600 contratados.
T000218,2025-10-01T13:19:19,C00325,sin_servicio,cerrado,baja,62.8,"Sin servicio en toda la zona, varios avisos."
T000219,2025-10-27T05:03:49,C00290,consulta_tarifa,abierto,media,,Solicita información sobre paquete convergente.
T000220,2025-10-20T01:44:29,C00498,intermitencias,resuelto,media,15.1,"Conexión inestable, especialmente por la noche."
T000221,2025-10-15T01:37:18,C00403,portabilidad,cerrado,media,9.1,"Portabilidad bloqueada, requiere intervención."
T000222,2025-10-28T17:46:35,C00382,consulta_tarifa,en_proceso,baja,,Solicita información sobre paquete convergente.
T000223,2025-10-07T07:53:53,C00391,velocidad_baja,resuelto,baja,38.6,Tests de velocidad muestran 50 Mbps de los 600 contratados.
T000224,2025-10-10T12:28:20,C00288,intermitencias,resuelto,baja,38.3,"Conexión inestable, especialmente por la noche."
T000225,2025-10-28T23:06:35,C00046,facturacion,resuelto,baja,41.6,Duplicidad en cobro de cuota mensual.
T000226,2025-10-17T17:24:02,C00305,sin_servicio,resuelto,media,33.8,"Router sin luz verde, cliente sin servicio."
T000227,2025-10-31T06:03:35,C00075,velocidad_baja,cerrado,baja,33.9,Tests de velocidad muestran 50 Mbps de los 600 contratados.
T000228,2025-10-19T03:31:58,C00080,portabilidad,abierto,alta,,Solicita portabilidad desde otro operador.
T000229,2025-10-08T04:03:22,C00445,sin_servicio,en_proceso,baja,,"Sin servicio en toda la zona, varios avisos."
T000230,2025-10-15T19:29:17,C00231,averia_router,abierto,media,,Router no enciende.
T000231,2025-10-11T06:51:09,C00105,portabilidad,abierto,baja,,Confirmación de portabilidad recibida.
T000232,2025-10-01T21:25:27,C00193,averia_router,resuelto,media,95.3,Router pierde configuración tras corte de luz.
T000233,2025-10-30T23:58:52,C00139,velocidad_baja,resuelto,baja,19.7,Velocidad muy baja en horario de tarde.
T000234,2025-10-14T04:05:58,C00340,velocidad_baja,resuelto,critica,6.9,Velocidad muy baja en horario de tarde.
T000235,2025-10-19T18:19:55,C00119,instalacion,cerrado,baja,83.3,Técnico no acudió a la cita programada.
T000236,2025-10-29T23:40:45,C00273,consulta_tarifa,resuelto,media,86.8,Solicita información sobre paquete convergente.
T000237,2025-10-28T05:14:53,C00475,sin_servicio,en_proceso,media,,"Router sin luz verde, cliente sin servicio."
T000238,2025-10-17T04:38:12,C00251,velocidad_baja,abierto,alta,,Tests de velocidad muestran 50 Mbps de los 600 contratados.
T000239,2025-10-31T08:26:48,C00155,consulta_tarifa,cerrado,baja,65.9,Solicita información sobre paquete convergente.
T000240,2025-10-31T09:06:03,C00132,facturacion,escalado,critica,26.8,Cargo no reconocido en la última factura.
T000241,2025-10-14T14:26:58,C00116,consulta_tarifa,cerrado,alta,3.3,Consulta sobre promociones vigentes.
T000242,2025-10-19T13:18:12,C00267,intermitencias,resuelto,baja,13.6,"Conexión inestable, especialmente por la noche."
T000243,2025-10-30T09:18:21,C00169,facturacion,resuelto,media,41.2,Cliente reclama subida de cuota sin aviso.
T000244,2025-10-10T19:42:30,C00442,portabilidad,resuelto,baja,13.7,Confirmación de portabilidad recibida.
