ticket_id,event_timestamp,customer_id,category,status,priority,resolution_hours,description
T000255,2025-10-07T11:23:07,C00952,VELOCIDAD_BAJA,cerrado,baja,64.6,Velocidad inferior a la contratada.
T000258,2025-10-09T03:21:52,C00053,facturacion,cerrado,baja,42.1,Cargo no reconocido en factura.
T000053,2025-10-03T13:01:57,C00243,velocidad_baja,escalado,baja,55.9,  Velocidad inferior a la contratada.  
T000368,2025-10-07T18:55:13,C00440,facturacion,en_proceso,media,,  Cargo no reconocido en factura.  
T000359,2025-10-23T14:05:43,C00317,intermitencias,resuelto,baja,46.2,Cortes intermitentes frecuentes.
T000316,2025-10-15T12:09:51,C00214,velocidad_baja,en_proceso,baja,,  Velocidad inferior a la contratada.  
T000112,2025-10-04T03:36:04,C00253,portabilidad,en_proceso,baja,,  Solicita portabilidad.  
T000383,2025-10-30T06:52:16,C00430,sin_servicio,abierto,media,,Sin conexión desde hace horas.
T000017,2025-10-01T19:16:22,C00269,sin_servicio,abierto,alta,,Sin conexión desde hace horas.
T000082,2025-10-10T16:58:02,C00423,intermitencias,resuelto,media,83.8,  Cortes intermitentes frecuentes.  
T000412,2025-10-14T14:42:33,C00226,Averia_router,cerrado,baja,24.2,  Router no enciende.  
T000184,2025-10-02T00:24:33,C00319,instalacion,resuelto,media,64.5,Instalación pendiente.
T000109,2025-10-02T00:35:33,C00415,intermitencias,cerrado,baja,14.9,Cortes intermitentes frecuentes.
T000209,2025-10-14T13:36:16,C00432,PORTABILIDAD,en_proceso,baja,,Solicita portabilidad.
T000015,2025-10-31T02:18:23,C00955,Velocidad Baja,cerrado,baja,18.4,Velocidad inferior a la contratada.
T000313,2025-10-07T09:39:30,C00023,Consulta Tarifa,abierto,media,,Consulta sobre tarifas.
T000059,2025-10-23T23:29:36,C00348,sin_servicio,escalado,media,42.0,Sin conexión desde hace horas.
T000025,2025-10-31T01:24:46,C00356,portabilidad,abierto,alta,,Solicita portabilidad.
T000261,2025-10-05T13:40:27,C00323,intermitencias,escalado,baja,11.2,Cortes intermitentes frecuentes.
T000094,2025-10-10T09:55:49,C00268,instalacion,abierto,baja,,Instalación pendiente.
T000084,2025-10-07T16:12:50,C00246,Portabilidad,escalado,baja,96.0,  Solicita portabilidad.  
T000121,2025-10-06T03:10:01,C00272,intermitencias,RESUELTO,media,43.5,  Cortes intermitentes frecuentes.  
T000363,2025-10-03T15:42:28,C00384,sin_servicio,en_proceso,alta,,Sin conexión desde hace horas.
T000161,2025-10-21T01:36:14,C00490,intermitencias,escalado,baja,14.5,Cortes intermitentes frecuentes.
T000030,2025-10-06T22:21:33,C00242,portabilidad,abierto,media,,Solicita portabilidad.
T000329,2025-10-20T08:26:35,C00299,consulta_tarifa,ESCALADO,alta,20.7,Consulta sobre tarifas.
T000336,2025-10-05T06:01:38,C00412,instalacion,abierto,baja,,Instalación pendiente.
T000348,2025-10-05T23:00:13,C00361,sin_servicio,escalado,critica,70.7,  Sin conexión desde hace horas.  
T000126,2025-10-28T19:02:02,C00055,intermitencias,escalado,media,28.0,  Cortes intermitentes frecuentes.  
T000202,2025-10-27T15:13:45,C00017,instalacion,EN_PROCESO,media,,Instalación pendiente.
T000263,2025-10-03T06:58:03,C00359,portabilidad,en_proceso,baja,,Solicita portabilidad.
T000418,2025-10-12T03:03:39,C00221,sin_servicio,cerrado,media,42.9,Sin conexión desde hace horas.
T000081,2025-10-18T22:51:33,C00032,portabilidad,abierto,baja,,Solicita portabilidad.
T000248,2025-10-22T08:59:12,C00028,velocidad_baja,resuelto,media,4.3,Velocidad inferior a la contratada.
T000093,2025-10-08T13:40:04,C00144,Intermitencias,ESCALADO,media,83.6,  Cortes intermitentes frecuentes.  
T000376,2025-10-02T21:56:55,C00292,instalacion,en_proceso,alta,,  Instalación pendiente.  
T000228,2025-10-24T00:44:43,C00067,consulta_tarifa,abierto,media,,Consulta sobre tarifas.
T000204,2025-10-09T08:19:26,C00433,intermitencias,cerrado,critica,13.1,Cortes intermitentes frecuentes.
T000326,2025-10-08T11:32:48,C00118,consulta_tarifa,cerrado,alta,90.6,
T000012,2025-10-25T02:00:03,C00242,intermitencias,abierto,media,,  Cortes intermitentes frecuentes.  
T000411,2025-10-09T17:43:21,C00140,portabilidad,cerrado,media,43.2,Solicita portabilidad.
T000360,2025-10-31T15:33:18,C00112,Averia_router,abierto,baja,,Router no enciende.
T000393,2025-10-13T00:47:43,C00135,Portabilidad,abierto,baja,,Solicita portabilidad.
T000005,2025-10-12T11:05:07,C00357,sin_servicio,escalado,alta,24.8,Sin conexión desde hace horas.
T000133,2025-10-29T03:01:53,C00235,averia_router,resuelto,baja,1.0,Router no enciende.
T000080,2025-10-18T15:57:04,C00332,instalacion,en_proceso,baja,,Instalación pendiente.
T000371,2025-10-06T02:05:57,C00476,portabilidad,cerrado,media,23.7,Solicita portabilidad.
T000269,2025-10-06T04:31:05,C00265,averia_router,en_proceso,baja,,Router no enciende.
T000247,2025-10-28T04:32:09,C00016,averia_router,cerrado,media,-90.4,Router no enciende.
T000064,2025-10-24T16:14:43,C00474,Velocidad Baja,resuelto,media,46.8,Velocidad inferior a la contratada.
T000032,2025-10-19T12:26:07,C00228,averia_router,abierto,alta,,Router no enciende.
T000119,2025-10-04T18:06:48,C00256,intermitencias,escalado,media,50.0,Cortes intermitentes frecuentes.
T000190,2025-10-20T10:35:39,C00367,facturacion,cerrado,baja,41.3,Cargo no reconocido en factura.
T000210,2025-10-31T19:23:30,C00321,Consulta Tarifa,cerrado,media,91.3,Consulta sobre tarifas.
T000073,2025-10-23T13:57:27,C00299,consulta_tarifa,cerrado,alta,18.0,Consulta sobre tarifas.
T000266,2025-10-31T09:30:31,C00403,Portabilidad,en_proceso,media,,Solicita portabilidad.
T000031,2025-10-28T20:40:27,C00923,portabilidad,escalado,critica,59.5,
T000280,2025-10-27T11:43:21,C00412,consulta_tarifa,escalado,baja,84.1,  Consulta sobre tarifas.  
T000110,2025-10-16T04:43:50,C00243,AVERIA_ROUTER,abierto,media,,Router no enciende.
T000116,2025-10-01T10:09:45,C00383,intermitencias,en_proceso,media,,Cortes intermitentes frecuentes.
T000337,2025-10-15T16:41:47,C00498,sin_servicio,resuelto,media,75.8,Sin conexión desde hace horas.
T000150,2025-10-18T00:33:22,C00326,SIN_SERVICIO,escalado,media,85.7,Sin conexión desde hace horas.
T000416,2025-10-27T17:43:23,C00353,instalacion,resuelto,alta,37.0,Instalación pendiente.
T000010,2025-10-08T21:07:43,C00225,sin_servicio,EN_PROCESO,baja,,Sin conexión desde hace horas.
T000232,2025-10-14T09:20:34,C00023,facturacion,resuelto,critica,56.8,Cargo no reconocido en factura.
T000253,2025-10-11T19:25:50,C00395,consulta_tarifa,escalado,media,35.5,Consulta sobre tarifas.
T000178,2025-10-22T00:05:49,C00336,portabilidad,escalado,alta,53.4,  Solicita portabilidad.  
T000289,2025-10-28T11:09:24,C00458,portabilidad,abierto,media,,Solicita portabilidad.
T000043,2025-10-25T12:04:51,C00074,facturacion,resuelto,media,51.5,Cargo no reconocido en factura.
T000144,2025-10-26T00:48:26,C00356,facturacion,resuelto,baja,43.8,  Cargo no reconocido en factura.  
T000139,2025-10-04T18:38:59,C00335,facturacion,cerrado,baja,2.4,Cargo no reconocido en factura.
T000246,2025-10-09T13:03:10,C00253,sin_servicio,resuelto,media,18.3,Sin conexión desde hace horas.
T000132,2025-10-26T21:06:41,C00499,intermitencias,abierto,baja,,Cortes intermitentes frecuentes.
T000214,2025-10-31T05:31:11,C00118,velocidad_baja,escalado,media,78.1,Velocidad inferior a la contratada.
T000395,2025-10-11T23:12:59,C00167,facturacion,en_proceso,media,,Cargo no reconocido en factura.
T000405,2025-10-03T10:27:06,C00475,sin_servicio,cerrado,alta,86.6,Sin conexión desde hace horas.
T000066,2025-10-17T17:43:30,C00306,sin_servicio,cerrado,baja,10.2,  Sin conexión desde hace horas.  
T000120,2025-10-20T23:12:21,C00497,Intermitencias,escalado,baja,42.2,  Cortes intermitentes frecuentes.  
T000394,2025-10-12T21:20:38,C00208,velocidad_baja,resuelto,baja,32.0,  Velocidad inferior a la contratada.  
T000276,2025-10-25T08:22:26,C00154,INTERMITENCIAS,en_proceso,media,,Cortes intermitentes frecuentes.
T000314,2025-10-12T02:44:48,C00363,CONSULTA_TARIFA,RESUELTO,baja,-40.8,Consulta sobre tarifas.
T000062,2025-10-02T06:23:18,C00481,averia_router,en_proceso,alta,,Router no enciende.
T000317,2025-10-16T14:32:55,C00006,averia_router,cerrado,media,60.6,Router no enciende.
T000103,2025-10-05T13:07:40,C00057,velocidad_baja,ESCALADO,baja,52.0,Velocidad inferior a la contratada.
T000272,2025-10-23T10:01:35,C00445,Intermitencias,escalado,media,43.2,Cortes intermitentes frecuentes.
T000376,2025-10-02T21:56:55,C00292,instalacion,en_proceso,alta,,  Instalación pendiente.  
T000265,2025-10-08T13:05:57,C00497,portabilidad,escalado,baja,36.4,Solicita portabilidad.
T000215,2025-10-27T05:25:38,C00326,velocidad_baja,abierto,baja,,  Velocidad inferior a la contratada.  
T000021,2025-10-29T04:54:58,C00353,facturacion,abierto,media,,Cargo no reconocido en factura.
T000251,2025-10-17T18:49:06,C00424,consulta_tarifa,cerrado,media,62.4,Consulta sobre tarifas.
T000070,2025-10-27T05:40:35,C00252,sin_servicio,escalado,media,94.9,Sin conexión desde hace horas.
T000243,2025-10-08T13:36:58,C00025,Intermitencias,abierto,baja,,  Cortes intermitentes frecuentes.  
T000389,2025-10-09T09:57:07,C00091,facturacion,escalado,baja,90.2,Cargo no reconocido en factura.
T000256,2025-10-24T03:37:03,C00312,velocidad_baja,CERRADO,media,59.5,  Velocidad inferior a la contratada.  
T000200,2025-10-25T07:17:12,C00482,sin_servicio,escalado,media,73.5,Sin conexión desde hace horas.
T000154,2025-10-28T22:32:11,C00154,Velocidad_baja,escalado,media,50.8,  Velocidad inferior a la contratada.  
T000417,2025-10-11T15:05:08,C00412,facturacion,cerrado,media,26.7,Cargo no reconocido en factura.
T000027,2025-10-27T07:40:56,C00155,velocidad_baja,resuelto,baja,87.4,
T000360,2025-10-31T15:33:18,C00112,Averia_router,abierto,baja,,Router no enciende.
T000024,2025-10-06T23:40:37,C00294,Averia_router,ABIERTO,alta,,  Router no enciende.  
T000083,2025-10-22T08:32:51,C00032,Averia_router,cerrado,critica,44.7,  Router no enciende.  
T000297,2025-10-15T10:04:39,C00493,sin_servicio,escalado,alta,2.4,Sin conexión desde hace horas.
T000323,2025-10-05T07:52:31,C00479,facturacion,abierto,baja,,  Cargo no reconocido en factura.  
T000078,2025-10-03T13:21:52,C00184,averia_router,escalado,media,28.3,Router no enciende.
T000168,2025-10-22T12:46:54,C00499,sin_servicio,en_proceso,media,,Sin conexión desde hace horas.
T000122,2025-10-03T00:27:51,C00403,Sin Servicio,en_proceso,media,,Sin conexión desde hace horas.
T000194,2025-10-22T00:56:10,C00193,portabilidad,cerrado,baja,9999,  Solicita portabilidad.  
T000223,2025-10-05T14:03:02,C00416,Averia Router,abierto,media,,Router no enciende.
T000042,2025-10-02T23:36:31,C00170,intermitencias,en_proceso,alta,,Cortes intermitentes frecuentes.
T000039,2025-10-23T19:45:23,C00410,averia_router,RESUELTO,critica,71.0,Router no enciende.
T000055,2025-10-01T11:24:38,C00003,portabilidad,abierto,baja,,
T000307,2025-10-05T02:26:15,C00163,consulta_tarifa,abierto,alta,,Consulta sobre tarifas.
T000218,2025-10-16T00:07:04,C00263,Sin Servicio,resuelto,alta,47.2,  Sin conexión desde hace horas.  
T000163,2025-10-21T10:55:27,C00117,consulta_tarifa,resuelto,baja,56.9,Consulta sobre tarifas.
T000118,2025-10-16T17:19:49,C00017,velocidad_baja,abierto,alta,,Velocidad inferior a la contratada.
T000138,2025-10-13T19:28:55,C00935,FACTURACION,en_proceso,baja,,Cargo no reconocido en factura.
T000004,2025-10-23T06:19:54,C00010,consulta_tarifa,escalado,baja,-33.6,Consulta sobre tarifas.
T000145,2025-10-11T21:30:54,C00255,Portabilidad,cerrado,critica,40.0,Solicita portabilidad.
T000274,2025-10-16T01:25:25,C00145,facturacion,EN_PROCESO,baja,,Cargo no reconocido en factura.
T000355,2025-10-15T04:51:15,C00068,sin_servicio,abierto,baja,,Sin conexión desde hace horas.
T000035,2025-10-29T17:13:58,C00095,portabilidad,escalado,critica,14.5,  Solicita portabilidad.  
T000156,2025-10-02T09:15:19,C00488,velocidad_baja,abierto,baja,,Velocidad inferior a la contratada.
T000057,2025-10-03T09:48:17,C00395,velocidad_baja,EN_PROCESO,media,,  Velocidad inferior a la contratada.  
T000419,2025-10-24T17:18:34,C00957,AVERIA_ROUTER,RESUELTO,critica,88.1,Router no enciende.
T000117,2025-10-20T09:01:20,C00390,Sin_servicio,escalado,critica,28.1,Sin conexión desde hace horas.
T000018,2025-10-26T19:53:20,C00427,portabilidad,en_proceso,media,,Solicita portabilidad.
T000074,2025-10-04T11:56:50,C00012,portabilidad,en_proceso,baja,,Solicita portabilidad.
T000270,2025-10-19T22:22:10,C00172,averia_router,escalado,media,13.2,Router no enciende.
T000378,2025-10-11T08:43:02,C00017,facturacion,cerrado,critica,5.3,
T000318,2025-10-14T18:53:43,C00459,consulta_tarifa,resuelto,critica,95.4,Consulta sobre tarifas.
T000335,2025-10-13T17:03:30,C00290,sin_servicio,resuelto,alta,-42.1,Sin conexión desde hace horas.
T000398,2025-10-20T18:40:38,C00140,Portabilidad,abierto,baja,,Solicita portabilidad.
T000011,2025-10-18T23:30:14,C00408,Consulta_tarifa,CERRADO,media,43.3,Consulta sobre tarifas.
T000107,2025-10-30T00:13:53,C00166,Intermitencias,abierto,media,,Cortes intermitentes frecuentes.
T000234,2025-10-30T01:01:17,C00075,Intermitencias,cerrado,alta,33.8,Cortes intermitentes frecuentes.
T000354,2025-10-18T23:23:09,C00070,sin_servicio,abierto,baja,,
T000301,2025-10-05T15:39:15,C00350,facturacion,cerrado,alta,22.1,  Cargo no reconocido en factura.  
T000262,2025-10-07T00:17:50,C00060,facturacion,cerrado,alta,45.1,Cargo no reconocido en factura.
T000048,2025-10-27T02:14:05,C00123,velocidad_baja,resuelto,alta,62.0,  Velocidad inferior a la contratada.  
T000137,2025-10-20T22:54:37,C00175,instalacion,en_proceso,baja,,Instalación pendiente.
T000098,2025-10-04T15:32:06,C00405,consulta_tarifa,escalado,baja,47.2,Consulta sobre tarifas.
T000293,2025-10-14T10:42:05,C00376,instalacion,abierto,baja,,  Instalación pendiente.  
T000372,2025-10-20T09:31:50,C00169,velocidad_baja,escalado,alta,93.8,Velocidad inferior a la contratada.
T000396,2025-10-02T10:47:19,C00474,portabilidad,en_proceso,baja,,  Solicita portabilidad.  
T000225,2025-10-17T20:16:21,C00453,averia_router,CERRADO,media,19.8,Router no enciende.
T000151,2025-10-16T17:12:56,C00001,intermitencias,cerrado,media,8.0,Cortes intermitentes frecuentes.
T000275,2025-10-29T14:53:44,C00211,averia_router,escalado,baja,7.2,Router no enciende.
T000325,2025-10-26T17:47:41,C00303,averia_router,cerrado,media,94.7,  Router no enciende.  
T000049,2025-10-06T12:08:53,C00027,instalacion,resuelto,baja,88.6,Instalación pendiente.
T000374,2025-10-09T23:10:06,C00381,facturacion,ESCALADO,media,63.4,
T000358,2025-10-17T14:41:20,C00346,velocidad_baja,en_proceso,alta,,Velocidad inferior a la contratada.
T000001,2025-10-06T10:51:55,C00309,intermitencias,en_proceso,baja,,Cortes intermitentes frecuentes.
T000226,2025-10-03T05:11:15,C00426,intermitencias,cerrado,baja,71.9,Cortes intermitentes frecuentes.
T000357,2025-10-07T16:05:30,C00411,portabilidad,resuelto,alta,9999,Solicita portabilidad.
T000149,2025-10-05T00:34:10,C00491,consulta_tarifa,abierto,baja,,  Consulta sobre tarifas.  
T000131,2025-10-31T04:09:39,C00075,velocidad_baja,escalado,baja,72.2,Velocidad inferior a la contratada.
T000199,2025-10-09T20:52:06,C00426,portabilidad,cerrado,baja,23.9,Solicita portabilidad.
T000003,2025-10-27T23:32:00,C00210,Facturacion,escalado,baja,51.6,Cargo no reconocido en factura.
T000127,2025-10-12T16:27:34,C00302,consulta_tarifa,resuelto,media,65.9,
T000136,2025-10-09T12:48:47,C00308,sin_servicio,resuelto,media,40.2,Sin conexión desde hace horas.
T000197,2025-10-10T11:14:29,C00306,intermitencias,en_proceso,alta,,Cortes intermitentes frecuentes.
T000211,2025-10-27T21:56:29,C00129,consulta_tarifa,cerrado,media,27.6,Consulta sobre tarifas.
T000130,2025-10-07T03:28:21,C00420,portabilidad,en_proceso,media,,  Solicita portabilidad.  
T000075,2025-10-13T23:32:35,C00225,instalacion,en_proceso,media,,Instalación pendiente.
T000295,2025-10-28T20:16:48,C00490,portabilidad,escalado,alta,57.2,Solicita portabilidad.
T000362,2025-10-04T18:43:10,C00231,intermitencias,en_proceso,media,,Cortes intermitentes frecuentes.
T000326,2025-10-08T11:32:48,C00118,consulta_tarifa,cerrado,alta,90.6,
T000213,2025-10-22T17:48:37,C00231,instalacion,en_proceso,media,,  Instalación pendiente.  
T000300,2025-10-27T09:12:14,C00084,portabilidad,en_proceso,media,,Solicita portabilidad.
